framework	backend	detail	recorded
jax	cpu	devices=[CpuDevice(id=0)]	2026-09-25T19:39:04+08:00
torch	cpu	version=2.14.0+cpu cuda_build=None threads=8	2026-09-25T19:39:06+08:00
