stage	label	elapsed_s	peak_rss_kb	exit_status	recorded
05_predict_af2_nomsa	predict_8QF3_1	142.02	2734112	0	2026-09-26T00:01:52+08:00
05_predict_af2_nomsa	predict_8R5K_1	152.82	2776736	0	2026-09-26T00:04:26+08:00
05_predict_af2_nomsa	predict_8JMY_1	141.61	2942960	0	2026-09-26T00:06:48+08:00
05_predict_af2_nomsa	predict_8KAC_1	121.80	2792760	0	2026-09-26T00:08:51+08:00
05_predict_af2_nomsa	predict_38LI_1	121.05	2849380	0	2026-09-26T00:10:52+08:00
05_predict_af2_nomsa	predict_8R8A_1	120.71	2818980	0	2026-09-26T00:12:53+08:00
05_predict_af2_nomsa	predict_8RU5_1	144.32	2767688	0	2026-09-26T00:15:18+08:00
05_predict_af2_nomsa	predict_8T2M_1	155.17	3021732	0	2026-09-26T00:17:53+08:00
05_predict_af2_nomsa	predict_8PHX_1	196.53	2703024	0	2026-09-26T00:21:11+08:00
05_predict_af2_nomsa	predict_8JZA_1	139.06	2888664	0	2026-09-26T00:23:30+08:00
05_predict_af2_nomsa	predict_8RKP_1	180.26	2788928	0	2026-09-26T00:26:31+08:00
05_predict_af2_nomsa	predict_27JK_1	200.15	2928568	0	2026-09-26T00:29:52+08:00
05_predict_af2_nomsa	predict_8K4M_1	164.08	2780172	0	2026-09-26T00:32:37+08:00
05_predict_af2_nomsa	predict_8RCY_1	154.34	2961148	0	2026-09-26T00:35:13+08:00
05_predict_af2_nomsa	predict_8PZO_1	136.95	2770304	0	2026-09-26T00:37:30+08:00
05_predict_af2_nomsa	predict_35TM_1	199.91	2982140	0	2026-09-26T00:40:50+08:00
05_predict_af2_nomsa	predict_8JU8_1	230.13	2788336	0	2026-09-26T00:44:43+08:00
05_predict_af2_nomsa	predict_8PHN_1	350.07	2748088	0	2026-09-26T00:50:34+08:00
05_predict_af2_nomsa	predict_10UV_1	720.25	3003604	0	2026-09-26T01:02:36+08:00
05_predict_af2_nomsa	predict_8QOK_1	667.41	2894868	0	2026-09-26T01:13:46+08:00
05_predict_af2_nomsa	predict_8K75_1	834.70	3111100	0	2026-09-26T01:27:44+08:00
05_predict_af2_nomsa	predict_29LW_1	528.50	2803196	0	2026-09-26T01:36:35+08:00
05_predict_af2_nomsa	predict_8QH6_1	413.59	3014896	0	2026-09-26T01:43:30+08:00
05_predict_af2_nomsa	predict_10JX_1	591.51	2985024	0	2026-09-26T01:53:28+08:00
05_predict_af2_nomsa	predict_32JG_1	228.39	2714432	0	2026-09-26T01:57:17+08:00
05_predict_af2_nomsa	predict_11CH_1	202.95	2950180	0	2026-09-26T02:00:41+08:00
05_predict_af2_nomsa	predict_12IS_1	203.91	2914612	0	2026-09-26T02:04:05+08:00
05_predict_af2_nomsa	predict_12XX_1	234.35	3033908	0	2026-09-26T02:08:00+08:00
05_predict_af2_nomsa	predict_37JY_1	280.92	2899384	0	2026-09-26T02:12:42+08:00
05_predict_af2_nomsa	predict_8T4C_1	316.31	2936476	0	2026-09-26T02:17:59+08:00
05_predict_af2_nomsa	predict_8JWD_1	347.11	2720744	0	2026-09-26T02:23:47+08:00
05_predict_af2_nomsa	predict_8PJ7_1	313.07	3025036	0	2026-09-26T02:29:03+08:00
05_predict_af2_nomsa	predict_8PVZ_1	212.17	2764400	0	2026-09-26T02:32:36+08:00
05_predict_af2_nomsa	predict_8QKY_1	290.12	3007800	0	2026-09-26T02:37:28+08:00
05_predict_af2_nomsa	predict_7H47_1	259.76	2955952	0	2026-09-26T02:41:48+08:00
05_predict_af2_nomsa	predict_8JYI_1	282.35	2987948	0	2026-09-26T02:46:31+08:00
05_predict_af2_nomsa	predict_8KAA_1	179.21	2850076	0	2026-09-26T02:49:31+08:00
05_predict_af2_nomsa	predict_32OA_1	160.37	2718600	0	2026-09-26T02:52:11+08:00
05_predict_af2_nomsa	predict_8PYV_1	153.10	3086068	0	2026-09-26T02:54:45+08:00
05_predict_af2_nomsa	predict_8PYW_1	147.98	2788360	0	2026-09-26T02:57:13+08:00
05_predict_af2_nomsa	predict_22LX_1	155.30	2963992	0	2026-09-26T02:59:49+08:00
05_predict_af2_nomsa	predict_32QT_1	222.31	2950868	0	2026-09-26T03:03:32+08:00
05_predict_af2_nomsa	predict_8RYS_1	191.65	2931428	0	2026-09-26T03:06:44+08:00
05_predict_af2_nomsa	predict_8T5A_1	186.84	2754384	0	2026-09-26T03:09:52+08:00
05_predict_af2_nomsa	predict_8PQR_1	170.86	2874380	0	2026-09-26T03:12:43+08:00
05_predict_af2_nomsa	predict_8Q6M_1	279.52	2895244	0	2026-09-26T03:17:24+08:00
05_predict_af2_nomsa	predict_10DA_1	308.68	2947216	0	2026-09-26T03:22:33+08:00
05_predict_af2_nomsa	predict_8KHU_1	346.66	3024392	0	2026-09-26T03:28:21+08:00
05_predict_af2_nomsa	predict_10UT_1	294.15	3033564	0	2026-09-26T03:33:16+08:00
05_predict_af2_nomsa	predict_8JUC_1	306.13	3105880	0	2026-09-26T03:38:24+08:00
05_predict_af2_nomsa	predict_8T7K_1	297.33	2716600	0	2026-09-26T03:43:22+08:00
05_predict_af2_nomsa	predict_8PX5_1	329.51	3064660	0	2026-09-26T03:48:53+08:00
05_predict_af2_nomsa	predict_26JK_1	359.34	2893308	0	2026-09-26T03:54:55+08:00
05_predict_af2_nomsa	predict_8RIJ_1	328.32	2838684	0	2026-09-26T04:00:25+08:00
05_predict_af2_nomsa	predict_10UW_1	340.04	3098280	0	2026-09-26T04:06:06+08:00
05_predict_af2_nomsa	predict_8K6G_1	348.18	3102856	0	2026-09-26T04:11:55+08:00
05_predict_af2_nomsa	predict_8QFU_1	280.30	2801512	0	2026-09-26T04:16:37+08:00
05_predict_af2_nomsa	predict_13EE_1	166.23	3147064	0	2026-09-26T04:19:23+08:00
05_predict_af2_nomsa	predict_28DB_1	166.22	3180076	0	2026-09-26T04:22:10+08:00
05_predict_af2_nomsa	predict_8QIY_1	161.40	2958792	0	2026-09-26T04:24:52+08:00
05_predict_af2_nomsa	predict_8K4I_1	164.19	2904004	0	2026-09-26T04:27:36+08:00
05_predict_af2_nomsa	predict_8Q4E_1	171.14	3055976	0	2026-09-26T04:30:28+08:00
05_predict_af2_nomsa	predict_8QX6_1	173.33	2973060	0	2026-09-26T04:33:21+08:00
05_predict_af2_nomsa	predict_8R5N_1	166.31	2915932	0	2026-09-26T04:36:08+08:00
05_predict_af2_nomsa	predict_27AA_1	168.75	3155484	0	2026-09-26T04:38:57+08:00
05_predict_af2_nomsa	predict_8PAQ_1	180.01	2934172	0	2026-09-26T04:41:57+08:00
05_predict_af2_nomsa	predict_10UX_1	171.26	3224224	0	2026-09-26T04:44:49+08:00
05_predict_af2_nomsa	predict_8QZV_1	171.59	3019096	0	2026-09-26T04:47:41+08:00
05_predict_af2_nomsa	predict_8R2C_1	174.15	2891692	0	2026-09-26T04:50:35+08:00
05_predict_af2_nomsa	predict_26AO_1	176.84	3116384	0	2026-09-26T04:53:33+08:00
05_predict_af2_nomsa	predict_26RW_1	172.45	2880056	0	2026-09-26T04:56:25+08:00
05_predict_af2_nomsa	predict_8Q6U_1	178.84	2974744	0	2026-09-26T04:59:24+08:00
05_predict_af2_nomsa	predict_8RDD_1	177.13	2976152	0	2026-09-26T05:02:22+08:00
05_predict_af2_nomsa	predict_8RRY_1	179.78	3256536	0	2026-09-26T05:05:22+08:00
05_predict_af2_nomsa	predict_8RHR_1	180.12	3210156	0	2026-09-26T05:08:22+08:00
05_predict_af2_nomsa	predict_10FS_1	180.46	3153300	0	2026-09-26T05:11:23+08:00
05_predict_af2_nomsa	predict_24MP_1	185.76	3270000	0	2026-09-26T05:14:29+08:00
05_predict_af2_nomsa	predict_30JI_1	179.67	3184636	0	2026-09-26T05:17:29+08:00
05_predict_af2_nomsa	predict_7HI9_1	182.68	2932776	0	2026-09-26T05:20:32+08:00
05_predict_af2_nomsa	predict_21LR_1	180.79	3058184	0	2026-09-26T05:23:33+08:00
05_predict_af2_nomsa	predict_8JQU_1	187.25	3047324	0	2026-09-26T05:26:41+08:00
05_predict_af2_nomsa	predict_8K84_1	188.19	2952700	0	2026-09-26T05:29:50+08:00
05_predict_af2_nomsa	predict_8QX5_1	186.60	3160580	0	2026-09-26T05:32:57+08:00
05_predict_af2_nomsa	predict_8S48_1	194.16	3015684	0	2026-09-26T05:36:12+08:00
05_predict_af2_nomsa	predict_10CX_1	190.39	3245436	0	2026-09-26T05:39:22+08:00
05_predict_af2_nomsa	predict_8POR_1	191.97	3149612	0	2026-09-26T05:42:35+08:00
05_predict_af2_nomsa	predict_8R3N_1	195.26	2941708	0	2026-09-26T05:45:51+08:00
